#p[GPa] name_spacegroup number_spacegroup
100 'Pbca' 61
110 'Pbca' 61
120 'Pbca' 61
130 'Pbca' 61
140 'Pbca' 61
150 'Pbca' 61
160 'Pbca' 61
170 'Pbcm' 57
180 'Pbca' 61
190 'Pbca' 61
200 'Pbca' 61
210 'Pbca' 61
220 'Pbca' 61
230 'Pbca' 61
240 'Pbcm' 57
250 'Pbca' 61
260 'Cmme' 67
270 'Pbca' 61
280 'Pbca' 61
290 'Pbca' 61
300 'Pbca' 61
400 'Pbcm' 57
500 'Pbcm' 57
600 'Pbca' 61
700 'P2_1/c' 14
800 'Pbca' 61
900 'Pbca' 61
1000 'Pbca' 61
1100 'Pbca' 61
