P/GPa	chemPot/meV
25	-405.96160421914396
26	-323.41037049371386
27	-241.5865912671596
28	-160.43978873959065
29	-79.9245118048242
30	0.
31	79.37014201500229
32	158.21825944834305
33	236.5729518372003
34	314.4593669789441
35	391.8994843325092
36	468.91238788996424
37	545.5145285182791
38	621.7199757712889
39	697.5406591718556
40	772.9865989642278
41	848.0661263365968
42	922.7860931138501
43	997.1520709205234
44	1071.1685398139493
45	1144.8390663876016
46	1218.1664713446432
47	1291.1529865416614
48	1363.8004015026086
49	1436.1101994029398
50	1508.0836825239417
51	1579.7220871772672
52	1651.0266880996605
53	1721.998892317882
54	1792.640322483832
55	1862.9528896798722
56	1932.9388556943395
57	2002.6008847672629
58	2071.9420848062755
59	2140.9660380727228
60	2209.6768213379714
61	2278.0790155099135
62	2346.177704729665
63	2413.978464938468
64	2481.4873419147852
65	2548.710818781598
66	2615.655772983891
67	2682.3294227363454
68	2748.7392629412225
69	2814.8929905764508
70	2880.798419553901
71	2946.4633850478685
72	3011.895637293751
73	3077.1027248569117
74	3142.091867371763
75	3206.869817751021
76	3271.442713865181
77	3335.8159196921747
78	3399.9938559372304
79	3463.979820122937
80	3527.77579614948
81	3591.382253325119
82	3654.797934866817
83	3718.019635871101
84	3781.0419707550914
85	3843.857130167755
