P/GPa	chemPot/meV
25	-405.73801384336946
26	-323.22558821842244
27	-241.44358355941085
28	-160.34151973409033
29	-79.87392502280792
30	0.
31	79.31670791126601
32	158.10861920862644
33	236.40442640003965
34	314.2293874095001
35	391.60560829396513
36	468.55231526580786
37	545.0861160141764
38	621.2212503175891
39	696.9698299388946
40	772.3420677924113
41	847.3464963716486
42	921.9901754245651
43	996.2788888619386
44	1070.2173308833374
45	1143.809281304642
46	1217.0577700716237
47	1289.96523094643
48	1362.5336443590434
49	1434.7646694254356
50	1506.6597651501804
51	1578.2203008564716
52	1649.447655923626
53	1720.3433089642729
54	1790.9089166422252
55	1861.1463824161879
56	1931.0579155872545
57	2000.6460811141799
58	2069.913840714164
59	2138.8645857547617
60	2207.502162331367
61	2275.8308886973646
62	2343.8555648872166
63	2411.5814740054475
64	2479.0143743368826
65	2546.1604812533515
66	2613.0264378957854
67	2679.6192737817664
68	2745.9463507574974
69	2812.0152959899174
70	2877.833921902835
71	2943.41013305664
72	3008.7518199427013
73	3073.8667395198754
74	3138.762382073519
75	3203.445823626256
76	3267.923562652898
77	3332.2013392098847
78	3396.283933750706
79	3460.1749419007033
80	3523.8765205609798
81	3587.389100659873
82	3650.7110643598403
83	3713.8383922927524
84	3776.7643014933346
85	3839.478913068434
