T/K	VIIprimeprime	VIIprime
1835	0.06942426678875041	34.804340740879425
1840	0.4169088262414218	35.70289546660493
1845	0.7649904685466493	36.59841228422974
1850	1.113657935170557	37.49086991006052
1855	1.4629000333728845	38.38024720240875
1860	1.8127056394331615	39.26652316372557
1865	2.1630637013692513	40.14967694222618
1870	2.513963241186147	41.02968783300206
1875	2.8653933566549186	41.90653527872661
1880	3.217343222707049	42.780198869931546
1885	3.569802092436814	43.65065834494173
1890	3.9227592977992085	44.51789358946551
1895	4.27620424997925	45.38188463592846
1900	4.630126439531393	46.24261166254494
1905	4.984515436268719	47.10005499218692
1910	5.339360888944319	47.95419509103896
1915	5.694652524805847	48.80501256716833
1920	6.050380148934316	49.652488168883465
1925	6.40653364351684	50.49660278302739
1930	6.763102966993509	51.33733743320928
1935	7.120078153112151	52.17467327793193
1940	7.477449309937325	53.00859160871333
1945	7.83520661877991	53.83907384811056
1950	8.193340333113248	54.66610154780699
1955	8.551840777437821	55.48965638661712
1960	8.910698346144523	56.30972016855383
1965	9.269903502352925	57.126274820838546
1970	9.629446776753602	57.93930239200255
1975	9.98931876646238	58.74878504994521
1980	10.34951013385083	59.55470508004535
1985	10.710011605445494	60.35704488332597
1990	11.07081397077085	61.15578697459784
1995	11.431908081282021	61.95091398071042
2000	11.793284849262017	62.74240863875034
