T/K	chemPot/meV
400	3523.8765205609798
425	4251.364155541437
450	4977.511642709212
475	5702.412458467899
500	6426.1497080095305
525	7148.797908641419
550	7870.424429007733
575	8591.090387530727
600	9310.850752037368
625	10029.75403402763
650	10747.842542560911
675	11465.153350797775
700	12181.719373774915
725	12897.57020267419
750	13612.73269029735
775	14327.231361885268
800	15041.088715441712
825	15754.325463871257
850	16466.960739925522
875	17179.01226039014
900	17890.496468291214
925	18601.428510143403
950	19311.822516996483
975	20021.691545724127
1000	20731.047656355116
