P/GPa	chemPot/meV
25	16696.37887715893
26	16787.782313184493
27	16877.752350956776
28	16966.375119992506
29	17053.731822039375
30	17139.898927467784
31	17224.94836773243
32	17308.947723904697
33	17391.9604112769
34	17474.0458600396
35	17555.259692033305
36	17635.65389357619
37	17715.276984369397
38	17794.174182481845
39	17872.38756541661
40	17949.956227261235
41	18026.916431924543
42	18103.301762463077
43	18179.14326650049
44	18254.46959774387
45	18329.307153601276
46	18403.680208905138
47	18477.61104574624
48	18551.12007942268
49	18624.225980507337
50	18696.945793035327
51	18769.295048809938
52	18841.2878778204
53	18912.937114757307
54	18984.254401600683
55	19055.25028624088
56	19125.934317073312
57	19196.315133484906
58	19266.40055212475
59	19336.19764882793
60	19405.712836045856
61	19474.951935637106
62	19543.920246898422
63	19612.622609770595
64	19681.06346323772
65	19749.24689903667
66	19817.176710887503
67	19884.856439520212
68	19952.2894137933
69	20019.478788172124
70	20086.42757677234
71	20153.138684097066
72	20219.61493252738
73	20285.859086579174
74	20351.87387392303
75	20417.66200317727
76	20483.226178526485
77	20548.56911128662
78	20613.693528635027
79	20678.602179855872
80	20743.297840626154
81	20807.78331609396
82	20872.06144377375
83	20936.135097557253
84	21000.007194267124
85	21063.68070381434
