T/K	chemPot/meV
400	-1.4169389874312708
425	724.7559612710751
450	1449.5434822324057
475	2173.018417384115
500	2895.2450716210205
525	3616.2805368354766
550	4336.175724040212
575	5054.976207465607
600	5772.722921604853
625	6489.452741900307
650	7205.198972384549
675	7919.991758199009
700	8633.858436922881
725	9346.823839654506
750	10058.910550519875
775	10770.139131545546
800	11480.52831848871
825	12190.095192167177
850	12898.855329005099
875	13606.822933853864
900	14314.010957622428
925	15020.431201828735
950	15726.094411840955
975	16431.010360297874
1000	17135.18792196839
