T/K	VIIprimeprime	VIIprime
1530	-19.356552454907007	-25.0918566103389
1535	-19.066565870394427	-24.11057762072852
1540	-18.775370619662947	-23.13190476686351
1545	-18.482981166286205	-22.15586628723551
1550	-18.18941188022182	-21.18249023756666
1555	-17.89467703871606	-20.211804492581816
1560	-17.598790827203633	-19.243836747735788
1565	-17.30176734018184	-18.278614520948132
1570	-17.003620582088143	-17.316165154305196
1575	-16.704364468160353	-16.356515815743922
1580	-16.404012825285747	-15.399693500703115
1585	-16.102579392833533	-14.445725033754732
1590	-15.800077823500382	-13.494637070239564
1595	-15.496521684103588	-12.546456097861984
1600	-15.191924456409675	-11.601208438234366
1605	-14.886299537921504	-10.65892024847949
1610	-14.579660242669133	-9.719617522737648
1615	-14.272019801981699	-8.783326093698141
1620	-13.963391365266675	-7.850071634083394
1625	-13.653788000757782	-6.919879658155281
1630	-13.343222696269843	-5.9927755231633295
1635	-13.031708359939733	-5.068784430776376
1640	-12.719257820948172	-4.1479314285424325
1645	-12.405883830255238	-3.2302414112652498
1650	-12.091599061308662	-2.3157391224218244
1655	-11.776416110737568	-1.404449155516964
1660	-11.460347499069156	-0.4963959554676904
1665	-11.143405671398652	0.40839618008126527
1670	-10.825602998076175	1.3099030994095844
1675	-10.506951775383412	2.2081007954220344
1680	-10.187464226182685	3.1029654043489567
1685	-9.867152500584496	3.994473204464808
1690	-9.54602867659186	4.8826006148414045
1695	-9.224104760743037	5.76732419405333
1700	-8.901392688733191	6.648620639000892
1705	-8.577904326057734	7.526466783656637
1710	-8.253651468610101	8.40083959785313
1715	-7.928645843303798	9.271716186108607
1720	-7.602899108676456	10.139073786459672
1725	-7.276422855481256	11.00288976924843
1730	-6.949228607279671	11.863141636024215
1735	-6.621327821020141	12.719807018390279
1740	-6.292731887618809	13.572863676864813
1745	-5.963452132526908	14.42228949978246
1750	-5.633499816290361	15.26806250218377
1755	-5.302886135109543	16.11016082476364
1760	-4.971622221392206	16.948562732740076
1765	-4.639719144290274	17.78324661484965
1770	-4.307187910239226	18.61419098225353
1775	-3.974039463493083	19.441374467535486
1780	-3.640284686650112	20.26477582365674
1785	-3.305934401166405	21.084373922937306
1790	-2.9709993678763738	21.90014775604955
1795	-2.6354902874934854	22.712076431070965
1800	-2.2994178011212907	23.520139172437045
1805	-1.9627924907457814	24.324315320018325
1810	-1.625624879721617	25.12458432814529
1815	-1.2879254332694852	25.920925764649645
1820	-0.9497045589465263	26.7133193099543
1825	-0.6109726071269285	27.501744756124328
1830	-0.27173987147010303	28.28618200593726
1835	0.06798341061516969	29.066611072016606
1840	0.40818705750654444	29.84301207589102
1845	0.7488609429268035	30.615365247129912
1850	1.0899949954695707	31.38365092246957
1855	1.431579198178068	32.14784954491695
1860	1.7736035880962462	32.90794166292049
1865	2.116058255828617	33.6639079295075
1870	2.4589333451115443	34.41572910142745
1875	2.8022190523942205	35.16338603836196
1880	3.145905626409068	35.90685970205208
1885	3.4899833677570613	36.64613115551302
1890	3.8344426284946116	37.381181562223496
1895	4.179273811724673	38.11199218532996
1900	4.52446737119935	38.83854438684124
1905	4.870013810904193	39.560819626882775
1910	5.215903684687214	40.2787994628836
1915	5.5621275958352205	40.992465548839704
1920	5.908676196721347	41.70179963455018
1925	6.255540188390954	42.406783564850876
1930	6.602710320203183	43.1073992789176
1935	6.95017738944645	43.803628809492196
1940	7.297932240968038	44.49545428216231
1945	7.6459657668086995	45.18285791466597
1950	7.994268905833048	45.86582201616349
1955	8.342832643377395	46.54432898653468
1960	8.69164801088915	47.218361315682024
1965	9.040706085565034	47.88790158285548
1970	9.389997990022088	48.55293245595776
1975	9.73951489193932	49.21343669086483
1980	10.089248003706038	49.8693971307733
1985	10.439188582103917	50.52079670552567
1990	10.789327927957773	51.167618430965796
1995	11.13965738580593	51.809845408280296
2000	11.490168343573592	52.447460823359116
