T/K	chemPot/meV
400	3531.6750717379796
425	4259.086393541048
450	4985.248455334122
475	5710.239117813706
500	6434.126952670981
525	7156.972413645549
550	7878.828787759904
575	8599.743251876354
600	9319.758387478156
625	10038.913831313592
650	10757.247150922309
675	11474.79383351721
700	12191.587021913278
725	12907.65737758524
750	13623.03309623378
775	14337.740017788628
800	15051.801779641753
825	15765.239971322404
850	16478.0742623997
875	17190.322597383507
900	17902.001306015696
925	18613.1252498102
950	19323.707954440357
975	20033.761739182843
1000	20743.297840626154
