#rho/A^-3 potentialEnergy/(eV) P/bar Ptarget/bar Tavg/K Ttarget/K v/A^3 avgEnthalpy/eV
0.200649313474246 -4.70858008082333 220034.493487125 220000 901.119565697846 900 4.98381969359867 -3.90812943456228  17.7715589054557 8.70652235389057 12.4179167177824 90 90 90
0.203212067043863 -4.70575711413733 230466.916233561 230000 902.729857398592 900 4.92096761057085 -3.88171196432046  17.605191742394 8.77018377603523 12.1915354026622 90 90 90
0.206818429919813 -4.70201997986222 240175.044185296 240000 897.254831234304 900 4.83515903484868 -3.86170056143529  17.3068843503724 8.66000025219576 12.3592998628086 90 90 90
0.209086299045124 -4.69712669223309 251240.831958036 250000 899.299975175333 900 4.78271414514915 -3.8314063317159  17.3083168541693 8.77729201652274 12.1829952260115 90 90 90
0.21181472422962 -4.69541853377834 261309.345223044 260000 901.755173231211 900 4.72110710734132 -3.80932951435751  17.2935477663581 8.66190680392699 12.1272133634327 90 90 90
0.214193234045199 -4.68761730051047 270447.320358767 270000 901.052451172057 900 4.66868155036578 -3.78361618081461  17.1294015006235 8.5585551261579 12.0636926807225 90 90 90
0.217276227771404 -4.68239866185513 281336.876746312 280000 899.74728166026 900 4.6024363100233 -3.75840158844269  17.1744716786408 8.64577013969132 11.8969053051814 90 90 90
0.219863573562536 -4.67675432273528 290860.185381585 290000 899.769155029597 900 4.54827502253604 -3.73522915955197  17.1190491674994 8.55699267956699 11.9668457956554 90 90 90
0.222762257671752 -4.67333262405819 300552.796144724 300000 902.528349156129 900 4.48909079325967 -3.71506808665867  16.7061533410679 8.51928158442201 12.3072184012166 90 90 90
0.22295234863683 -4.67287652893216 299468.686745573 300000 899.569099312226 900 4.48526335835516 -3.71875873096756  16.9962749475903 8.53481950231571 11.9855249727174 90 90 90
0.225167240945686 -4.6646031751869 310221.550131494 310000 898.909275584708 900 4.4411433732548 -3.6889660143269  16.989780369404 8.53016394457945 11.8428464675158 90 90 90
0.227724969429318 -4.65878883325275 319332.039354364 320000 901.279926725906 900 4.39126197933417 -3.66756005996249  16.7496568134272 8.31615872789118 12.0082822422257 90 90 90
0.229882982560325 -4.65328672241708 330095.046851991 330000 900.271370997441 900 4.35003926285662 -3.6412398440157  16.6778315845526 8.30248340166624 12.0090862332637 90 90 90
0.231975529623366 -4.64721924689156 339171.4484502 340000 901.809970537853 900 4.31079951244683 -3.61854971307849  16.7341850612968 8.35446081010351 11.7617353654414 90 90 90
