#rho/A^-3 potentialEnergy/(eV) P/bar Ptarget/bar Tavg/K Ttarget/K v/A^3 avgEnthalpy/eV
0.101498310665936 -4.80413312618749 15128.4426554398 15000 800.68955060906 800 9.85238072869339 -4.60767968661946  20.9249482010764 41.9290636717734 28.9542059282113 90 90 90
0.124538145559828 -4.80445799864265 35219.1387286468 35208.3333333333 800.432103513492 800 8.02966830367326 -4.52454604440106  18.9344848106995 42.0967429231571 26.1954883351476 90 90 90
0.139289284205545 -4.79772933049126 55388.6784735674 55416.6666666667 800.041745400588 800 7.17930317255654 -4.44618010975175  17.7698234283153 36.9556129280768 28.3262790969696 90 90 90
0.15097328904634 -4.78761819544771 75656.0730833692 75625 800.283067643232 800 6.62368824523031 -4.3714581249724  15.7226772584185 37.8486574318208 28.9685669320045 90 90 90
0.160402148236078 -4.77765759695685 95740.3141520085 95833.3333333333 800.643999413044 800 6.23433046874294 -4.30169231255259  15.4091065635733 37.860148332876 27.8231478846324 90 90 90
0.168268354318866 -4.76722135350844 116228.825573343 116041.666666667 800.245085523465 800 5.94288809709884 -4.23271993831122  15.4650231663777 37.4339146727892 26.6289134291047 90 90 90
0.174743774583869 -4.75701860818138 135876.341972096 136250 800.94574557937 800 5.72266452628358 -4.16823775865779  14.8333434266774 36.7794210301184 27.0815574912332 90 90 90
0.180449740908918 -4.7468389606994 155979.270994603 156458.333333333 801.046543520906 800 5.54170925911582 -4.10384737816752  14.4690854671814 35.8422399456652 27.7506398892498 90 90 90
0.185348494891358 -4.73704111097199 176587.48886054 176666.666666667 801.133716494713 800 5.39524208484213 -4.03890242498683  14.2133632709229 34.161711150641 28.7743526614308 90 90 90
0.190117132209208 -4.72674497988684 197034.514429663 196875 801.154780426402 800 5.25991523425455 -3.97639052112154  14.3405177743909 31.272968984979 30.3865902522147 90 90 90
0.194332522805346 -4.71679700174893 217153.834724216 217083.333333333 800.603363259581 800 5.14581906087666 -3.91593417802511  14.3050278608235 30.2008977882252 30.9230680171345 90 90 90
0.19823120230567 -4.70625865958452 237271.763655885 237291.666666667 801.159202128612 800 5.0446145125933 -3.85570158305786  14.0449019113374 29.9193341359374 31.2142457412675 90 90 90
0.202232800735833 -4.69547158484008 257515.903433575 257500 800.442546558792 800 4.94479627618001 -3.79730266753988  13.9351388813218 29.4270104857033 31.4380824284966 90 90 90
0.206117544096834 -4.68364396166982 277479.052919092 277708.333333333 801.112513747997 800 4.85160059703701 -3.73990596451284  13.7296381620812 29.7708153749155 30.6458605591082 90 90 90
0.209658483460424 -4.67231293663319 298101.752364641 297916.666666667 800.816489633138 800 4.76966151569424 -3.6814206131107  13.7482287837959 30.0435580286732 29.932121663286 90 90 90
0.213250650708165 -4.66132101574175 318354.513933899 318125 798.87864398873 800 4.68931746130288 -3.62634951789248  13.7490161355622 30.238618196769 29.2902254909776 90 90 90
0.216533561609062 -4.64832790622438 338480.406265786 338333.333333333 800.200354678868 800 4.61822173232174 -3.5692955800039  13.6630520018172 30.1280363919754 28.9962268309163 90 90 90
