#rho/A^-3 potentialEnergy/(eV) P/bar Ptarget/bar Tavg/K Ttarget/K v/A^3 avgEnthalpy/eV cellA cellB cellC cellAlpha cellBeta cellGamma
0.196636767270426 -4.62498956689315 250139.17048101 250000 1398.80262392061 1400 5.08551891836558 -3.6510269708892  21.0758277212149 10.7007374124656 8.62544638138247 90 90 90
0.198710945630713 -4.62004373948595 260010.515130467 260000 1408.12604220546 1400 5.03243541429475 -3.62217320536225  19.907750896992 10.5834981450177 9.08481085269084 90 90 90
0.200556531272187 -4.61429992096454 269280.605660089 270000 1401.64118122631 1400 4.9861253266434 -3.59582267976551  20.6202233812949 10.6669031368314 8.81225499716661 90 90 90
0.202879561332837 -4.6068484440991 279467.117510328 280000 1402.011091864 1400 4.92903273957416 -3.56659867021574  18.1190429185695 10.5024713781276 9.90543161564465 90 90 90
0.204427089988849 -4.60160928202161 289796.69454804 290000 1397.29144323514 1400 4.89171958596361 -3.53688251900688  17.2837007391285 10.0508873041667 10.775147412813 90 90 90
0.207073568804009 -4.59524582540068 298531.094106081 300000 1397.82074758327 1400 4.82920155274128 -3.51555351215045  18.1083428606793 9.64542945435945 10.5399669320446 90 90 90
0.208781252338919 -4.58952857913977 311083.925108949 310000 1402.99226383901 1400 4.78970208674043 -3.47893973873558  17.8964748235296 8.81600589179359 11.7498033593252 90 90 90
0.210744500517979 -4.58297277102723 321252.04429179 320000 1406.40562168059 1400 4.74508230365274 -3.45059226817111  17.8867892073209 9.75335638561425 10.4061745022433 90 90 90
0.212880119619179 -4.57520945005388 330574.525243976 330000 1404.30051119133 1400 4.69747951001202 -3.42533812647713  17.8305495723008 9.75791911155414 10.4402626968472 90 90 90
0.214390162986882 -4.56965295149039 339160.495118007 340000 1400.9825939431 1400 4.6643931142549 -3.40196256630597  17.1829444406072 10.0699361708716 10.4826340991408 90 90 90
0.215691013149958 -4.56444387118937 349392.264164975 350000 1397.36875436963 1400 4.63626177741933 -3.37369691762025  19.2974766233086 8.83489803033575 10.4573183498578 90 90 90
