#rho/A^-3 potentialEnergy/(eV) P/bar Ptarget/bar Tavg/K Ttarget/K v/A^3 avgEnthalpy/eV
0.0973802388119163 -4.7912866996683 15047.3836374451 15000 900.964719004637 900 10.2690239025952 -4.57845740402684  23.2314545088826 39.7891903761496 28.6278950563709 90 90 90
0.117165778126055 -4.79360388544136 30025.6942834005 30156.25 899.604719200142 900 8.5349153651686 -4.51743841799225  17.4713008440736 43.3299360616132 29.2356269182543 90 90 90
0.129663983951045 -4.79016978263622 45327.8498892815 45312.5 901.484169748705 900 7.71224182327725 -4.45553184612149  15.8120111936748 47.7620243167484 26.3969147810869 90 90 90
0.139943729326211 -4.78352543383011 60552.5487550677 60468.75 900.057029926864 900 7.14572924999723 -4.39720243884625  16.2466506858788 42.3077976428662 27.0141866061119 90 90 90
0.14852130853214 -4.77630344995029 75509.506819692 75625 898.990174037572 900 6.73304059789914 -4.34284835191931  12.8731417632394 53.7985554044512 25.1462807888467 90 90 90
0.155939359785773 -4.76824311247349 90966.8923869066 90781.25 900.925685540505 900 6.41274916976564 -4.28777596849909  12.4160981773948 50.2015337714244 26.6583547740794 90 90 90
0.16232201604018 -4.75998045308904 106062.91263412 105937.5 899.578201067769 900 6.16059376537356 -4.23595173289438  13.2939160292919 45.0676496784247 26.532914762592 90 90 90
0.167906974510444 -4.75223480623364 121429.924998468 121093.75 900.545462269289 900 5.95567874959118 -4.18451966748975  12.4849062541275 46.6173926245968 26.6443537418902 90 90 90
0.172820676347126 -4.74426952951454 136320.04215172 136250 900.728268526841 900 5.78634467319994 -4.13558028647518  12.5098644741219 44.3507299984095 27.045224031975 90 90 90
0.177189391057739 -4.73704401022784 151502.095134678 151406.25 900.067790083257 900 5.64367874414186 -4.08710636316528  12.1301032285856 46.0996890067829 26.3564241937026 90 90 90
0.181297323432371 -4.72899243615106 166525.661661747 166562.5 901.351491728833 900 5.51580123229468 -4.03926438618098  12.2356635200805 45.6364872049899 25.615720097553 90 90 90
0.185050464585655 -4.72090521358544 181960.174396818 181718.75 900.152469473677 900 5.40393131267783 -3.99090067874275  12.2597877518589 44.414123460299 25.6970843381789 90 90 90
0.188475029662584 -4.7131100077349 197218.93372246 196875 899.953610579871 900 5.30574263227465 -3.94374651004284  11.9692980848373 42.2901162821431 27.067289400823 90 90 90
0.191851072312396 -4.70541951800641 212168.359324765 212031.25 900.013571313965 900 5.21237639147346 -3.89890345761147  11.4925297867203 45.5204087779862 25.8476544852827 90 90 90
0.195003595594644 -4.69733934201192 227637.869973462 227187.5 900.660650430204 900 5.12811057124664 -3.85237997299868  11.7165536506436 48.0196217901907 23.6844832572568 90 90 90
0.197984565167374 -4.68930320939458 242335.196610299 242343.75 901.18123778843 900 5.05089878675447 -3.80892269260517  11.7579411016677 46.7506032105859 23.8648014806533 90 90 90
0.200862128633888 -4.68083693175872 257795.961001183 257500 900.142079947428 900 4.97853929360025 -3.76349237243192  11.7567384338994 46.9817624895246 23.377232020051 90 90 90
0.203670910445577 -4.6725531190479 272714.994171774 272656.25 898.864125363836 900 4.90988132675535 -3.72070350153058  11.6354923338043 48.354271128139 22.58516300454 90 90 90
0.203926782395944 -4.67197037245571 273858.509649065 273656.25 898.09150238767 900 4.90372077787409 -3.717773006494  11.7895594266726 47.2073511301696 22.7856677424476 90 90 90
0.206525073116152 -4.66372509342749 288422.026078035 288745.833333333 900.299750857827 900 4.84202709584608 -3.6757738624275  11.5833922733148 47.147858408131 22.9841389084147 90 90 90
0.209412397195307 -4.65524260905209 303582.150830862 303835.416666667 901.057505267518 900 4.77526647606902 -3.63403075808859  11.5934565332986 48.1514129271407 22.1259885002862 90 90 90
0.212323612584929 -4.64613469531492 319235.801611484 318925 900.751420164895 900 4.70979175526228 -3.59133731752918  11.2641782712726 48.6174836378741 22.2930968520947 90 90 90
