#rho/A^-3 potentialEnergy/(eV) P/bar Ptarget/bar Tavg/K Ttarget/K v/A^3 avgEnthalpy/eV
0.221313188531411 -4.59494339347034 351031.723828755 350000 1201.46412549642 1200 4.51848354196961 -3.44983976708416  17.056920881116 17.1880494592025 23.7012508224292 90 90 90
0.22438990653232 -4.59137331169895 358447.645918032 360000 1202.3042076735 1200 4.45652843950877 -3.4395370032476  17.1616919561439 8.55967758848921 11.6749903011361 90 90 90
0.225287565913147 -4.59190365964047 359996.468398898 360000 1200.26458853702 1200 4.43877138068738 -3.43956269876094  17.0650321716484 16.8975650201552 23.6024543001056 90 90 90
0.228377783475145 -4.58797527591946 369932.022751808 370000 1197.32912783924 1200 4.37870963096037 -3.42288437884588  17.2301608493165 8.56604172683333 11.4306848215394 90 90 90
0.228981993192091 -4.58823170842771 369907.386933608 370000 1201.36128115934 1200 4.3671556267794 -3.42482013219781  16.7048896357408 16.6905536525455 24.3184784504341 90 90 90
0.231869258628522 -4.58202243776553 380407.152859994 380000 1201.08886292426 1200 4.3127752506515 -3.40295382496236  16.8289226680203 16.8248397650508 23.4005479646655 90 90 90
0.232401972757924 -4.58356965268272 379052.863861168 380000 1201.56957587496 1200 4.30288946403061 -3.41103595357916  16.8332305159312 8.42812302927634 11.5609605654375 90 90 90
0.234711353308344 -4.57727809058952 390303.119501105 390000 1200.46461795171 1200 4.26055231630098 -3.38437198021813  16.7615312377089 16.6178626876075 23.4202360567 90 90 90
0.234914074217007 -4.57615449796755 388317.04307345 390000 1199.60948932116 1200 4.25687563988282 -3.39011264023559  16.6665026970333 8.33870684279955 11.9260890378296 90 90 90
0.237135974709533 -4.57097952714128 400540.83024892 400000 1201.0749526022 1200 4.21698985666302 -3.36163921332362  16.7631135287551 16.7472382623329 23.2338280436802 90 90 90
0.237590576467116 -4.57136845658354 400089.970636877 400000 1200.20358672885 1200 4.20892114018 -3.36535880560536  16.5775420445514 16.5822337141325 23.631690504891 90 90 90
0.237753213599144 -4.57273068803439 400116.27824195 400000 1199.89002798723 1200 4.20604199144923 -3.36786455340442  16.7442698919386 8.3068788733633 11.5366264404262 90 90 90
0.239262752006583 -4.56662730931087 411206.319017466 410000 1203.31830710104 1200 4.17950555033524 -3.33917276720576  16.4821128033798 8.26820720571935 11.5879305982396 90 90 90
0.23970464567645 -4.56497915717611 409895.111181507 410000 1199.34101031215 1200 4.17180066401294 -3.3428212603199  16.5718974103137 16.651194596214 23.3277528205186 90 90 90
0.240108261150608 -4.56585373811142 409719.023244722 410000 1201.89678864682 1200 4.16478798025508 -3.34561054283397  16.5281093421635 16.6050363540475 23.2256714248727 90 90 90
0.241706281543762 -4.55865385446986 419903.523179484 420000 1199.53690758947 1200 4.13725284098149 -3.31948271618057  16.398168610674 16.4230446247389 23.3685801621096 90 90 90
0.241769062936995 -4.55989934257977 420345.812143423 420000 1201.22711446372 1200 4.13617849964782 -3.31960551858772  16.4481490202462 16.3708086822421 23.4316243798294 90 90 90
0.242051199500252 -4.56166702547291 420272.295469445 420000 1198.24634876627 1200 4.13135734119326 -3.32387971809783  16.3093033198113 8.32554191537459 11.709990585406 90 90 90
0.24401682629846 -4.5544643167575 430650.944316837 430000 1203.08598131505 1200 4.09807805129343 -3.29759288122234  16.4708995534245 16.4979455142761 23.3269407484849 90 90 90
0.244135620985001 -4.55575952547926 430585.918997611 430000 1200.00915636554 1200 4.09608395516129 -3.30057717939014  16.4120976926921 8.19138408266223 11.7446667160687 90 90 90
0.244135837646941 -4.55470429488328 430162.14279247 430000 1200.08773941031 1200 4.09608032003133 -3.29999471806854  16.3699449521321 16.4723664737849 23.2957372603542 90 90 90
0.245852843390616 -4.54852012388474 440025.235975349 440000 1199.23203939818 1200 4.06747380347023 -3.2766154289003  16.3664747248253 16.2941114509652 23.1487428859614 90 90 90
0.245905323442513 -4.54886666778843 439808.655739753 440000 1200.32910920329 1200 4.06660574078128 -3.27757190490115  16.4480764581219 16.434514938988 23.2417436854976 90 90 90
0.246194870022774 -4.54900251661474 440849.860752774 440000 1196.03395570167 1200 4.06182305873187 -3.27738795971509  16.3340133567881 8.09606600176063 11.7561703702712 90 90 90
0.247522754484599 -4.54369257140948 449770.766054392 450000 1200.76368250513 1200 4.04003261066739 -3.25500018132335  16.3423876958868 8.19657027640044 11.6120321863792 90 90 90
0.24777887735587 -4.543255441756 449296.901139291 450000 1200.85551406867 1200 4.03585652930278 -3.25642397994132  16.3624245726466 16.3042489484815 23.2053073596178 90 90 90
0.247875105623948 -4.54295477706475 449835.702034254 450000 1199.90447846139 1200 4.03428975847661 -3.25531177914105  16.2946383124129 16.4573370411209 23.2115315943923 90 90 90
0.249270450439349 -4.53707531907687 460483.121916577 460000 1201.00161871658 1200 4.0117069561894 -3.22949644009992  16.4542471987953 8.08194039788052 11.425209378191 90 90 90
0.249425424774371 -4.53700769944382 459875.411844046 460000 1198.89921810345 1200 4.0092143810303 -3.23143679594266  16.322530818792 16.3852729730243 23.0363782489499 90 90 90
0.249753830641305 -4.53830727864427 459378.37268764 460000 1198.08615238738 1200 4.00394259192042 -3.23558902236679  16.2606569822861 16.297708879478 23.0475541297547 90 90 90
0.251180753325726 -4.53283447203955 469852.203947527 470000 1201.0859176546 1200 3.98119675476577 -3.21023923919931  16.4148449740761 16.3315245010914 22.9752738762755 90 90 90
0.251200034659133 -4.53305884912939 469660.535325984 470000 1201.71348549616 1200 3.98089117048473 -3.21092373896071  16.4098191202854 16.3375572674054 22.9881554302486 90 90 90
0.251314327396726 -4.53411779739784 468784.889198228 470000 1200.44099858894 1200 3.97908074067499 -3.21541753801431  16.2918053455314 8.14411485864398 11.4766844566549 90 90 90
0.252383045585537 -4.52768014942343 480231.88082729 480000 1198.06256348077 1200 3.9622312888727 -3.18576089011182  16.1730169825091 8.04727330405423 11.5762634520337 90 90 90
0.252478836789851 -4.52662103544887 480261.344196972 480000 1201.2311310527 1200 3.96072800680852 -3.18427010447888  16.2885805028592 16.2696466287478 22.8098185064825 90 90 90
0.252747738885125 -4.52722325299213 480045.855161633 480000 1201.16695621938 1200 3.95651412911158 -3.18668404312488  16.2919080070773 16.395023893309 22.8860129172129 90 90 90
0.254257101845215 -4.52298258222733 489436.901159858 490000 1197.35199452422 1200 3.93302681711827 -3.16739273694548  16.3591454851334 8.05891539440819 11.3967898051539 90 90 90
0.254281470023074 -4.52246285614 490156.543295065 490000 1199.3120077253 1200 3.93264990920989 -3.16449056971837  16.2444892340061 16.245964584944 22.9101940413521 90 90 90
0.254294232655635 -4.52285009328933 489749.215347531 490000 1200.18405771733 1200 3.93245253561924 -3.16582906901546  16.2734662248699 16.1380164868854 22.9778778802641 90 90 90
0.255661688991785 -4.51723308339077 500572.128740612 500000 1200.18224621278 1200 3.91141904734945 -3.14019363271667  16.1592952155574 16.1776123988394 22.9374295460933 90 90 90
0.255755506357644 -4.5184398491534 499469.696095547 500000 1194.71104142293 1200 3.9099842433172 -3.14582355623205  16.1797298851827 8.22318389767012 11.2574550477192 90 90 90
0.255759433112024 -4.51718132315517 499779.204661679 500000 1198.05748837833 1200 3.90992421210909 -3.14281271180056  16.2020903054684 16.2034564636003 22.8865606429766 90 90 90
0.2570720900446 -4.51214609314572 510272.460266213 510000 1199.15615616561 1200 3.8899594266593 -3.11838729447095  16.1221848079488 16.0683145161587 23.0405564466143 90 90 90
0.257095238377658 -4.51241500351852 510077.619357823 510000 1198.94806101541 1200 3.88960918261372 -3.11928504898598  16.1406224165622 16.2402510566751 22.8473903704089 90 90 90
0.257168413936065 -4.51232834065994 509544.237254626 510000 1205.6120845904 1200 3.88850242024128 -3.12056613843361  16.1928923911276 8.13190415167399 11.2713172051097 90 90 90
0.258333359325441 -4.50660561570764 520650.836617324 520000 1200.39414256989 1200 3.87096735245961 -3.09370228067496  16.034887249038 16.2095827049104 22.9647131886159 90 90 90
0.258477396376114 -4.50765435150286 519740.958661011 520000 1199.33373768696 1200 3.86881024809182 -3.09778856286416  16.1848455704517 16.1248585932087 22.9250599569468 90 90 90
0.258496283530378 -4.50868594611724 518741.412829888 520000 1199.63841010513 1200 3.86852757162554 -3.10177986503588  16.0307703472194 8.05822036322641 11.3938013852189 90 90 90
0.259700832709459 -4.50366798440852 530329.121126973 530000 1198.31860812141 1200 3.85058449588706 -3.07500786161861  16.1384532859103 8.01863290018706 11.4335243933896 90 90 90
0.259821968884366 -4.50180789634262 529376.31282532 530000 1202.28009222482 1200 3.84878924709038 -3.07487630645202  16.0577164153131 16.1252143651971 22.7385363328918 90 90 90
0.261006750524618 -4.49717142328312 540169.269848103 540000 1201.15949516786 1200 3.83131853099592 -3.05038918845856  16.0965763576726 16.007257282732 22.7944068619085 90 90 90
0.261202115821247 -4.49777431604722 539373.423225586 540000 1191.12546925027 1200 3.82845290841498 -3.05561715951373  16.2271940190283 8.02285393263608 11.4233520844079 90 90 90
0.262242486287315 -4.49214375597882 550110.341072848 550000 1200.32791331985 1200 3.81326463975174 -3.02787698907246  16.0442669818144 16.0794761151032 22.873644547415 90 90 90
0.262383713022214 -4.49334068974106 549512.317624227 550000 1205.90886462839 1200 3.81121216893267 -3.0309140891577  16.0935617041789 7.98434948108529 11.4693780519855 90 90 90
0.263407483556482 -4.48893805046682 559559.136617056 560000 1204.21796748878 1200 3.79639935243363 -3.00817922016321  15.9037346919717 8.001023118344 11.5660890020766 90 90 90
0.263443816371988 -4.48778939482889 559906.082200737 560000 1201.44796506425 1200 3.79587577257073 -3.00613070645232  15.999708574385 16.1367149393667 22.5544162256522 90 90 90
0.264734134776733 -4.48296074594502 570533.448254208 570000 1198.33229162411 1200 3.77737461337716 -2.98308752828117  15.9515277925065 16.0819823070128 22.679579287068 90 90 90
0.264739191677857 -4.48397892164416 569689.31684997 570000 1198.46009783324 1200 3.77730246006353 -2.98659622451169  15.9827044580348 8.08256802894536 11.176139254043 90 90 90
0.265796044156798 -4.47817845792974 580514.293995984 580000 1195.83959717118 1200 3.76228323176278 -2.96096707657646  16.159409574581 8.00038293972005 11.1726035432118 90 90 90
0.265844219686635 -4.47798983673545 580485.197288106 580000 1202.14441299644 1200 3.76160144154631 -2.95990306403225  15.9799476132447 15.9839444824487 22.6333986618275 90 90 90
0.266873539398926 -4.47256691867556 589822.770872412 590000 1202.42510510124 1200 3.74709310729074 -2.93786458781718  16.0025245687467 16.0335680088197 22.4850162272912 90 90 90
0.266978032986997 -4.47379484713594 590155.718369134 590000 1202.0870131546 1200 3.74562651770194 -2.93943244597233  16.1147668713361 8.03505967373409 11.2220180808044 90 90 90
0.268057422571305 -4.4682009783526 600233.670037542 600000 1201.68477281571 1200 3.73054396482528 -2.91541691055104  15.9173865997865 15.8282401334936 22.629761360191 90 90 90
0.268186852244515 -4.4688914364362 600283.441365117 600000 1200.24115502221 1200 3.72874356677361 -2.91730831647728  15.9212702143291 8.14791304595288 11.2102647203779 90 90 90
0.268189981598729 -4.46945972758941 599606.098482474 600000 1202.82787519786 1200 3.72870005821553 -2.9191152223009  15.8410400179091 8.01800170634135 11.2076507377765 90 90 90
0.269346902191933 -4.46448966962735 608787.424522814 610000 1198.56522481737 1200 3.71268424422944 -2.89946026881473  15.9399487924785 7.99101586359091 11.2881878006925 90 90 90
0.270334447922349 -4.45979877660251 620516.243143756 620000 1196.71647392256 1200 3.69912161652162 -2.87329697382088  16.0621466457545 7.96361069066026 11.2189801050719 90 90 90
