#U[eV]	 V[A³]	 rho[g/cm3]	 Pges[kB]	 H[eV/f.u.]	 a[A]	 b[A]	 c[A]
-188.00972376 	 109.40127852801915238120 	 3.27853960050510835068 	 996.7198967 	 -9.99589935769840707705 	 4.60989056388072349999 	 4.60989056382621927535 	 5.94443434233768109999
-186.12874631 	 106.84294845519357544207 	 3.35704348472203680934 	 1095.768397 	 -9.42135006875863923513 	 4.57421045987564859999 	 4.57421046006334101109 	 5.89634582558581939999
-184.28890499 	 104.51829645007209001293 	 3.43170943444660983108 	 1196.10108 	 -8.85508543478037331440 	 4.54147724910924919999 	 4.54147724921352201186 	 5.85150263611168149999
-182.44465405 	 102.38404464999620714176 	 3.50324530766633751378 	 1296.335327 	 -8.30040135780562901609 	 4.51120636702557579999 	 4.51120636762870802959 	 5.80919909965021029999
-180.55015792 	 100.30753975871455439086 	 3.57576733376953132858 	 1400.574923 	 -7.73869216566498584787 	 4.48191618189193259999 	 4.48191618244166812182 	 5.76601125958377289999
-178.75927189 	 98.51764891838435523911 	 3.64073268026463710174 	 1500.279443 	 -7.20893917635296505940 	 4.45613926270371769999 	 4.45613926234713943471 	 5.72882950689672739999
-176.96270286 	 96.83348978301286353899 	 3.70405347162156353246 	 1600.056863 	 -6.68811087137595757494 	 4.43175966535360549999 	 4.43175966480041820580 	 5.69301792169926649999
-175.21500780 	 95.29094063360904855282 	 3.76401388857205880561 	 1699.98627 	 -6.17556246627797343437 	 4.40895843629319549999 	 4.40895843653671316633 	 5.66042411905431119999
-173.45849413 	 93.82562388053410397508 	 3.82279817778450383267 	 1800.854757 	 -5.66650106247044206997 	 4.38749658068266159999 	 4.38749658058799566363 	 5.62804092970836129999
-171.73900122 	 92.46607312354695639504 	 3.87900569239877476861 	 1899.851263 	 -5.17444150025556501778 	 4.36726434919935879999 	 4.36726434954021205040 	 5.59799906600128589999
-170.02690236 	 91.17923788026717462767 	 3.93375106371254308102 	 2000.52355 	 -4.68149171404853834546 	 4.34790413974833799999 	 4.34790414035122342544 	 5.56936146040736089999
-168.32551485 	 89.96088060075633294862 	 3.98702660094886265947 	 2100.008617 	 -4.20098211416367004002 	 4.32954797293752149999 	 4.32954797211123528900 	 5.54163546608950059999
-166.64691886 	 88.81280398606543102937 	 4.03856660190883833435 	 2199.942993 	 -3.72486479325066419647 	 4.31200056259906269999 	 4.31200056351604178275 	 5.51553103024651839999
-164.98484027 	 87.72490597374169485270 	 4.08864985398059036399 	 2299.845693 	 -3.25500478282390196250 	 4.29522824228960859999 	 4.29522824180347235826 	 5.49059975847366479999
-163.32249709 	 86.68169514383566029777 	 4.13785659596098881433 	 2400.49674 	 -2.78747691207273755850 	 4.27916198423107289999 	 4.27916198267332658377 	 5.46612187858528209999
-161.68612479 	 85.69549365008308571185 	 4.18547590687287261755 	 2500.32654 	 -2.32928003768344977418 	 4.26377203979855149999 	 4.26377204090500530175 	 5.44301333594018909999
-160.06729184 	 84.75686219842031452561 	 4.23182754406739890497 	 2600.291513 	 -1.87575697931815112600 	 4.24895338427676439999 	 4.24895338641010623534 	 5.42101121054496279999
-158.45392282 	 83.85569260983043210572 	 4.27730560486661865167 	 2700.581153 	 -1.42577248735147115656 	 4.23479605626950219999 	 4.23479605645026146686 	 5.39929328626868089999
-156.85473129 	 82.99383875401124841319 	 4.32172350845338496207 	 2800.44852 	 -.98246633513563342426 	 4.22098709151604459999 	 4.22098709039391870258 	 5.37882200739896719999
-155.26822625 	 82.16806550631882394781 	 4.36515599813430374289 	 2900.940687 	 -.54105782949354503222 	 4.20772135161140959999 	 4.20772135398332777177 	 5.35893496898481739999
-153.70060925 	 81.37901227105159252824 	 4.40748067579568726870 	 3000.903037 	 -.10636585305641546736 	 4.19500480410823059999 	 4.19500480267882492513 	 5.33970000044185329999
-138.68148769 	 74.92498476197868398126 	 4.78714043305369318181 	 4000.465237 	 4.03318796423659714531 	 4.08695896479654849999 	 4.08695896578163718252 	 5.17959111335541599999
-124.36765648 	 70.12597522099665600440 	 5.11474418529879461541 	 5000.383363 	 7.87458964550080783447 	 4.00152607353767649999 	 4.00152607379032486592 	 5.05704688465273389999
-110.44275389 	 66.29199323782236364408 	 5.41055422354324459565 	 5999.72049 	 11.48357704161651599268 	 3.93044573856035789999 	 3.93044573901171787173 	 4.95503624439588999999
-96.80281888 	 63.10576916688832240521 	 5.68373428824631104071 	 6999.907977 	 14.90885124224542093414 	 3.86967890459948859999 	 3.86967890724677595419 	 4.86618451661765049999
-83.43064484 	 60.39287101455085418914 	 5.93905237446952496888 	 7999.830423 	 18.17642345484875795642 	 3.81683575146690979999 	 3.81683575334423396814 	 4.78683106727868329999
-70.30917783 	 58.03991997958133359604 	 6.17982285513459945007 	 8999.532827 	 21.30874276137670347794 	 3.77003976521008169999 	 3.77003976856287956182 	 4.71524551572257429999
-57.42466908 	 55.96952313945125042104 	 6.40842379711432038226 	 10000.19851 	 24.32637899628609739503 	 3.72780156628138749999 	 3.72780156808104593446 	 4.65066869000344679999
-44.75812964 	 54.12572792837050011808 	 6.62672702480175680298 	 11000.19265 	 27.23810153151775975921 	 3.68976921838881469999 	 3.68976923073564443759 	 4.59065557059007909999
