#p[GPa] name_spacegroup number_spacegroup
100 'P2_12_12' 18
110 'P2_12_12' 18
120 'P2_12_12' 18
130 'Pbcm' 57
140 'Pbcm' 57
150 'Pbcm' 57
160 'Pbcm' 57
170 'Pbcm' 57
180 'P2_12_12' 18
190 'Pbcm' 57
200 'Pbcm' 57
210 'Pbcm' 57
220 'Pbcm' 57
230 'P2_12_12' 18
240 'P2_12_12' 18
250 'P2_12_12' 18
260 'Pbcm' 57
270 'P2_12_12' 18
280 'P2_12_12' 18
290 'P2_12_12' 18
300 'Pbcm' 57
400 'Pbcm' 57
500 'Pbcm' 57
600 'Pbcm' 57
700 'P2_12_12' 18
800 'P2_12_12' 18
900 'P2_12_12' 18
1000 'P2_12_12' 18
1100 'P2_12_12' 18
  
