#p[GPa] name_spacegroup number_spacegroup
100 'P3_221' 154
110 'P3_221' 154
120 'P3_221' 154
130 'P3_221' 154
140 'P3_221' 154
150 'P3_221' 154
160 'P3_221' 154
170 'P3_221' 154
180 'P3_221' 154
190 'P3_221' 154
200 'P3_221' 154
210 'P3_221' 154
220 'P3_221' 154
230 'P3_221' 154
240 'P3_221' 154
250 'P3_221' 154
260 'P3_221' 154
270 'P3_221' 154
280 'P3_221' 154
290 'P3_221' 154
300 'P3_221' 154
400 'P3_221' 154
500 'P3_221' 154
600 'P3_221' 154
700 'P3_221' 154
800 'P3_221' 154
900 'P3_221' 154
1000 'P3_221' 154
1100 'P3_221' 154
  
