#U[eV]	 V[A³]	 rho[g/cm3]	 Pges[kB]	 H[eV/f.u.]	 a[A]	 b[A]	 c[A]
-157.38190390 	 113.58615197608491399268 	 3.15774782189573435633 	 1000.002603 	 -7.20723503143064738653 	 2.66335148869208549999 	 3.77042710940323019999 	 11.31113934286664779999
-155.65331050 	 110.94596970296612240116 	 3.23289277618897448165 	 1099.99937 	 -6.62346871666666403074 	 2.64447571671444769999 	 3.73962425815987309999 	 11.21873730171541969999
-154.26532074 	 109.01701729581341787504 	 3.29009573823456877871 	 1199.996717 	 -6.05115506440000213456 	 2.62897490275060129999 	 3.71788195676445319999 	 11.15352791683657149999
-152.85471041 	 107.21311734470222600679 	 3.34545280356707632714 	 1299.99825 	 -5.48854289398204070043 	 2.61451341184641529999 	 3.69713260370336669999 	 11.09154440577330189999
-151.42670090 	 105.52239131877739071559 	 3.39905511538738806077 	 1400.003397 	 -4.93498528755558442387 	 2.60069117321052619999 	 3.67760447182509819999 	 11.03292896519673859999
-149.98394658 	 103.93174205025085366528 	 3.45107680218215186488 	 1500.00345 	 -4.39000727273253802820 	 2.58752758914656589999 	 3.65907202148908439999 	 10.97721726210922099999
-148.52848726 	 102.43058330448923294614 	 3.50165363145286571019 	 1599.998647 	 -3.85309571241261318307 	 2.57495663408944739999 	 3.64140676823095300387 	 10.92422235882483575246
-147.06224801 	 101.01000128022394811427 	 3.55090010349522473165 	 1700.001963 	 -3.32373356650220688192 	 2.56295687288744879999 	 3.62452343216817629999 	 10.87357029720326909999
-145.58799381 	 99.66313130667995331777 	 3.59888776619202609506 	 1799.99391 	 -2.80163942117042887406 	 2.55144476792765039999 	 3.60839180055702169999 	 10.82516860614283339999
-144.10614754 	 98.38240461247085175989 	 3.64573752199724693258 	 1899.99935 	 -2.28631677714843880084 	 2.54038939000480019999 	 3.59292322838747549999 	 10.77877001109285789999
-142.61797628 	 97.16218451381524776387 	 3.69152284702903831111 	 2000.00225 	 -1.77750916756468777127 	 2.52982519163189679999 	 3.57801840206637409999 	 10.73406418389653889999
-141.12584149 	 95.99813408104344747357 	 3.73628537089271498545 	 2099.997107 	 -1.27496992352530404908 	 2.51947826218846059999 	 3.56382536160475549999 	 10.69142914088518029999
-139.62891368 	 94.88497264354682860748 	 3.78011832650714002650 	 2199.999903 	 -.77827742219226608251 	 2.50954991063674939999 	 3.55009913838131649999 	 10.65028226648417229999
-138.13036344 	 93.81968047866589169855 	 3.82304034899757686604 	 2299.998 	 -.28732609464924988389 	 2.50009022451438229999 	 3.53678450074911319999 	 10.61034899321053079999
-136.62867017 	 92.79774393198339652185 	 3.86514163817273193829 	 2399.997863 	 .19822624990649888725 	 2.49097164208030849999 	 3.52390115015136509999 	 10.57170211060679849999
-135.12548769 	 91.81661376348656431508 	 3.90644360860362808826 	 2500.00674 	 .67862115421719780442 	 2.48235353519444369999 	 3.51130257354735109999 	 10.53390466260996839999
-133.62169285 	 90.87343696691436259054 	 3.94698864675481169734 	 2599.98339 	 1.15384020592934175636 	 2.47383524261016819999 	 3.49922898469701729999 	 10.49769181177047629999
-132.11701266 	 89.96530314081570639636 	 3.98683060555680707256 	 2699.99527 	 1.62440991970833946879 	 2.46561869350805639999 	 3.48748706118888659999 	 10.46252547783883099999
-130.61804239 	 89.09178979362139893731 	 4.02592006323886578821 	 2799.930227 	 2.08974132939248047883 	 2.45761359583061579999 	 3.47616678452725079999 	 10.42853918407898559999
-128.26552204 	 87.79705676191149867922 	 4.08528984032643070876 	 2899.986077 	 2.55414081544081813039 	 2.32128951687479729999 	 3.57116719144578719999 	 10.59108525684613509999
-126.46081111 	 86.81811926759990902466 	 4.13135445717788383678 	 2999.998037 	 3.00849202927219892241 	 2.29224494903933709999 	 3.58107817142910579999 	 10.57634350738450909999
-110.26290861 	 79.34726304123274758963 	 4.52033769348306389427 	 3999.999037 	 7.31964218805296791814 	 2.15966676992440789999 	 3.56008818252528680343 	 10.32011292772468460817
-94.99594291 	 73.89250537755247909605 	 4.85402981218932841432 	 4999.999707 	 11.30036768750745782262 	 2.08152977114278979999 	 3.51789421757314799999 	 10.09101818763528159999
-80.30460522 	 69.60421224420430266229 	 5.15308502798069841208 	 6000.000907 	 15.02971870661250651377 	 2.02315292457707269999 	 3.47630734180703180131 	 9.89665989851397930937
-66.08120808 	 66.09401197682504908226 	 5.42676126433004136506 	 7000.001737 	 18.55727691628779231809 	 1.97630699427789479999 	 3.43739307768895589999 	 9.72923087019146489999
-52.25823764 	 63.13894909831648151987 	 5.68074744863885679260 	 8000.00124 	 21.91730553869624377637 	 1.93717382370067299999 	 3.40129360362990199999 	 9.58262812648978369999
-38.32028439 	 60.51124551235397035961 	 5.92743416472517747168 	 8999.999773 	 25.13275351304504589797 	 1.90325808839856169999 	 3.36455789880532619999 	 9.44953421417405439999
-24.70192744 	 58.21419217137089175876 	 6.16132270536587768096 	 10000.00026 	 28.22020719769128972909 	 1.87379205545820529999 	 3.33006882683193559999 	 9.32941199222259069999
-11.40925023 	 56.18599988569940167934 	 6.38373304256691179804 	 10999.99786 	 31.19538675666418649976 	 1.84790469662861679999 	 3.29777368641497089999 	 9.21993154011600779999
